IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,víťaz,Korčok,Pellegrini
508438,Banská Bystrica,76018,48.7360873,19.1274405,508438.0,Korčok,52.95,47.05
508446,Bacúch,897,48.84217,19.7984486,508446.0,Pellegrini,28.36,71.64
508454,Badín,2028,48.6751978,19.0882895,508454.0,Pellegrini,49.72,50.28
508462,Beňuš,1152,48.833946,19.7232317,508462.0,Pellegrini,41.81,58.19
508471,Baláže,221,48.8282865,19.1919171,508471.0,Pellegrini,34.04,65.96
508489,Braväcovo,680,48.854692,19.7487141,508489.0,Pellegrini,32.64,67.36
508497,Brezno,20061,48.8193168,19.6789864,508497.0,Pellegrini,40.59,59.41
508519,Čerín,450,48.6659537,19.2521936,508519.0,Pellegrini,32.64,67.36
508527,Čierny Balog,5062,48.7138983,19.6849159,508527.0,Pellegrini,28.36,71.64
508535,Dolná Lehota,681,48.8907489,19.5273506,508535.0,Pellegrini,39.25,60.75
508543,Dolná Mičiná,439,48.6723435,19.2129129,508543.0,Pellegrini,46.34,53.66
508551,Dolný Harmanec,261,48.8305873,19.0365374,508551.0,Pellegrini,26.58,73.42
508560,Donovaly,249,48.873566,19.2321317,508560.0,Korčok,67.25,32.75
508578,Drábsko,176,48.6580776,19.6688864,508578.0,Pellegrini,32.91,67.09
508586,Dúbravica,418,48.6777605,19.2934808,508586.0,Pellegrini,24.23,75.77
508594,Harmanec,848,48.7862936,19.0670455,508594.0,Pellegrini,20.15,79.85
508608,Heľpa,2471,48.8603503,19.9671812,508608.0,Pellegrini,24.71,75.29
508616,Hiadeľ,512,48.830951,19.3116556,508616.0,Pellegrini,22.94,77.06
508624,Horná Lehota (BR),598,48.8774724,19.5754439,508624.0,Pellegrini,33.84,66.16
508632,Horná Mičiná,641,48.7003872,19.1972227,508632.0,Korčok,51.4,48.6
508641,Horné Pršany,398,48.6992319,19.070948,508641.0,Pellegrini,45.34,54.66
508659,Hrochoť,1452,48.662561,19.3714726,508659.0,Pellegrini,27.16,72.84
508667,Hronec,1146,48.7461888,19.5362405,508667.0,Pellegrini,31.99,68.01
508675,Brusno,2153,48.821421,19.3717672,508675.0,Pellegrini,36.21,63.79
508691,Jarabá,39,48.894012,19.7078658,508691.0,Pellegrini,30.77,69.23
508705,Jasenie,1138,48.8903586,19.4397496,508705.0,Pellegrini,28.55,71.45
508713,Kordíky,477,48.7729606,19.028775,508713.0,Korčok,55.14,44.86
508721,Králiky,693,48.7340913,19.0291964,508721.0,Pellegrini,43.47,56.53
508730,Lom nad Rimavicou,228,48.6409023,19.6869648,508730.0,Pellegrini,35.84,64.16
508748,Ľubietová,1233,48.7342596,19.4224796,508748.0,Pellegrini,38.29,61.71
508756,Lučatín,671,48.7791115,19.3242089,508756.0,Pellegrini,47.89,52.11
508764,Medzibrod,1382,48.802448,19.3463152,508764.0,Pellegrini,38.2,61.8
508772,Michalová,1291,48.7823519,19.7941193,508772.0,Pellegrini,34.8,65.2
508781,Môlča,412,48.7132921,19.2304306,508781.0,Pellegrini,41.92,58.08
508799,Moštenica,233,48.833776,19.2791752,508799.0,Pellegrini,33.33,66.67
508802,Motyčky,105,48.8626819,19.1840856,508802.0,Pellegrini,33.8,66.2
508811,Mýto pod Ďumbierom,525,48.8530377,19.6328108,508811.0,Korčok,56.76,43.24
508829,Nemecká,1730,48.8049044,19.4320746,508829.0,Pellegrini,30.49,69.51
508837,Oravce,177,48.6919792,19.2601916,508837.0,Pellegrini,31.58,68.42
508845,Osrblie,357,48.7492846,19.5129659,508845.0,Pellegrini,30.09,69.91
508853,Podbrezová,3622,48.8042223,19.5159938,508853.0,Pellegrini,30.36,69.64
508861,Podkonice,914,48.8199943,19.2479716,508861.0,Pellegrini,44.19,55.81
508870,Pohorelá,2141,48.8633819,20.0235483,508870.0,Pellegrini,20.86,79.14
508888,Pohronská Polhora,1700,48.7538609,19.8331061,508888.0,Pellegrini,29.94,70.06
508896,Pohronský Bukovec,116,48.8520935,19.3796835,508896.0,Pellegrini,22.37,77.63
508900,Polomka,2942,48.8530102,19.8615046,508900.0,Pellegrini,27.54,72.46
508918,Poniky,1529,48.7039619,19.3285924,508918.0,Pellegrini,39.6,60.4
508926,Povrazník,143,48.7113032,19.3690366,508926.0,Pellegrini,20.69,79.31
508934,Predajná,1301,48.7985303,19.4756242,508934.0,Pellegrini,42.31,57.69
508942,Priechod,1009,48.7910804,19.2206593,508942.0,Korčok,55.67,44.33
508951,Ráztoka,279,48.8285368,19.3996228,508951.0,Pellegrini,20.99,79.01
508969,Riečka (BB),832,48.7614239,19.0695082,508969.0,Pellegrini,47.13,52.87
508977,Sebedín-Bečov,358,48.6400925,19.2481958,508977.0,Pellegrini,31.94,68.06
508985,Selce (BB),2125,48.7826649,19.1895662,508985.0,Korčok,51.15,48.85
508993,Sihla,197,48.6657056,19.6096322,508993.0,Pellegrini,30.95,69.05
509001,Slovenská Ľupča,3265,48.7614718,19.2785951,509001.0,Pellegrini,43.34,56.66
509019,Staré Hory,551,48.843832,19.1225606,509019.0,Pellegrini,48.01,51.99
509027,Strelníky,770,48.706143,19.4107835,509027.0,Pellegrini,27.47,72.53
509035,Špania Dolina,223,48.8043567,19.1288247,509035.0,Korčok,65.76,34.24
509043,Šumiac,1335,48.8380821,20.1119999,509043.0,Pellegrini,18.04,81.96
509051,Telgárt,1499,48.855335,20.1965141,509051.0,Pellegrini,37.97,62.03
509060,Tajov,668,48.7467191,19.0425115,509060.0,Pellegrini,45.87,54.13
509086,Valaská,3442,48.7404498,19.5641431,509086.0,Pellegrini,35.37,64.63
509094,Vaľkovňa,418,48.8194736,20.0374853,509094.0,Pellegrini,11.3,88.7
509124,Závadka nad Hronom,2174,48.8353259,19.9305067,509124.0,Pellegrini,27.85,72.15
509132,Čadca,23328,49.4425869,18.7995879,509132.0,Pellegrini,34.01,65.99
509159,Čierne,4419,49.4976889,18.8367177,509159.0,Pellegrini,27.24,72.76
509167,Dlhá nad Kysucou,619,49.3715607,18.6573858,509167.0,Pellegrini,22.12,77.88
509175,Dolný Vadičov,513,49.274616,18.8540387,509175.0,Pellegrini,33.43,66.57
509183,Dunajov,1136,49.3671216,18.8064465,509183.0,Pellegrini,28.14,71.86
509205,Horný Vadičov,1679,49.2718675,18.8944371,509205.0,Pellegrini,29.25,70.75
509213,Klokočov (CA),2287,49.4672442,18.5822181,509213.0,Pellegrini,26.56,73.44
509221,Klubina,537,49.3791589,18.9158063,509221.0,Pellegrini,18.96,81.04
509230,Korňa,1981,49.4193315,18.5432813,509230.0,Pellegrini,31.82,68.18
509248,Krásno nad Kysucou,6676,49.3896709,18.8379264,509248.0,Pellegrini,28.48,71.52
509256,Kysucké Nové Mesto,14660,49.3056178,18.7929028,509256.0,Pellegrini,34.21,65.79
509264,Kysucký Lieskovec,2378,49.3417107,18.8306052,509264.0,Pellegrini,32.21,67.79
509272,Lodno,971,49.3325666,18.8698777,509272.0,Pellegrini,24.07,75.93
509281,Lopušné Pažite,441,49.2790832,18.8301655,509281.0,Pellegrini,21.74,78.26
509299,Makov,1710,49.3588399,18.4400461,509299.0,Pellegrini,43.19,56.81
509302,Nesluša,3165,49.3377008,18.7312979,509302.0,Pellegrini,34.33,65.67
509311,Nová Bystrica,2680,49.3549209,19.060482,509311.0,Pellegrini,19.53,80.47
509329,Ochodnica,1922,49.3609713,18.7696831,509329.0,Pellegrini,25.25,74.75
509337,Olešná,1929,49.4328322,18.6513137,509337.0,Pellegrini,28.04,71.96
509345,Oščadnica,5736,49.4399493,18.9132822,509345.0,Pellegrini,30.15,69.85
509361,Podvysoká,1347,49.4049822,18.6625422,509361.0,Pellegrini,26.21,73.79
509370,Povina,1138,49.310289,18.8543353,509370.0,Pellegrini,24.68,75.32
509396,Radôstka,798,49.3205848,18.9388919,509396.0,Pellegrini,17.3,82.7
509400,Raková,5630,49.4591229,18.716395,509400.0,Pellegrini,37.74,62.26
509426,Rudina,1814,49.2888509,18.733909,509426.0,Pellegrini,32.56,67.44
509434,Rudinka,397,49.2736361,18.743943,509434.0,Pellegrini,37.86,62.14
509442,Rudinská,1015,49.3277311,18.7031318,509442.0,Pellegrini,20.3,79.7
509451,Skalité,5247,49.4949263,18.9169516,509451.0,Pellegrini,26.55,73.45
509469,Snežnica,1085,49.2631601,18.7938671,509469.0,Pellegrini,40.22,59.78
509477,Stará Bystrica,2740,49.3563622,18.9422391,509477.0,Pellegrini,24.57,75.43
509485,Staškov,2764,49.4440061,18.6815978,509485.0,Pellegrini,27.45,72.55
509493,Svrčinovec,3370,49.4824087,18.7895864,509493.0,Pellegrini,33.11,66.89
509507,Turzovka,7233,49.398652,18.6121599,509507.0,Pellegrini,27.56,72.44
509515,Vysoká nad Kysucou,2578,49.3850172,18.5218475,509515.0,Pellegrini,27.01,72.99
509523,Zákopčie,1710,49.3906508,18.7166144,509523.0,Pellegrini,26.06,73.94
509531,Zborov nad Bystricou,2187,49.3893734,18.8942664,509531.0,Pellegrini,16.95,83.05
509540,Dolný Kubín,18095,49.2432596,19.2941351,509540.0,Korčok,55.57,44.43
509558,Babín,1444,49.3230521,19.3844801,509558.0,Pellegrini,47.77,52.23
509566,Beňadovo,938,49.4321881,19.3497305,509566.0,Pellegrini,43.87,56.13
509582,Bobrov,1913,49.4447382,19.5560191,509582.0,Pellegrini,38.56,61.44
509591,Breza,1627,49.3998908,19.3665232,509591.0,Pellegrini,35.04,64.96
509604,Brezovica (TS),1367,49.3219041,19.6669211,509604.0,Pellegrini,48.15,51.85
509639,Dlhá nad Oravou,1433,49.2507749,19.5159209,509639.0,Korčok,53.0,47.0
509655,Habovka,1374,49.2775172,19.6508034,509655.0,Pellegrini,36.49,63.51
509663,Hladovka,1047,49.3732309,19.7543426,509663.0,Pellegrini,30.47,69.53
509671,Horná Lehota (DK),557,49.2591509,19.4053089,509671.0,Korčok,51.79,48.21
509680,Hruštín,3177,49.3174033,19.3052254,509680.0,Korčok,57.09,42.91
509698,Chlebnice,1604,49.2239722,19.484331,509698.0,Korčok,65.7,34.3
509701,Istebné,1359,49.2243066,19.2088027,509701.0,Pellegrini,40.09,59.91
509710,Jasenová,425,49.1641796,19.2982199,509710.0,Korčok,60.24,39.76
509728,Klin,2475,49.4463687,19.4730354,509728.0,Pellegrini,41.34,58.66
509744,Kraľovany,430,49.162788,19.1120902,509744.0,Pellegrini,29.43,70.57
509761,Krivá,808,49.2655459,19.5073296,509761.0,Korčok,55.11,44.89
509779,Krušetnica,973,49.3892384,19.3294329,509779.0,Pellegrini,42.39,57.61
509787,Leštiny,296,49.1868057,19.3583572,509787.0,Pellegrini,47.2,52.8
509795,Liesek,2962,49.3609387,19.6903965,509795.0,Korčok,56.75,43.25
509809,Lokca,2389,49.3689273,19.4141831,509809.0,Pellegrini,49.74,50.26
509817,Lomná,943,49.3474401,19.2847919,509817.0,Pellegrini,46.73,53.27
509825,Malatiná,834,49.1915111,19.4442292,509825.0,Pellegrini,49.87,50.13
509833,Medzibrodie nad Oravou,572,49.2389574,19.3561193,509833.0,Korčok,66.67,33.33
509850,Mútne,3072,49.4845068,19.2916611,509850.0,Pellegrini,39.3,60.7
509868,Námestovo,7722,49.4188224,19.4810699,509868.0,Korčok,50.05,49.95
509876,Nižná (TS),3936,49.3204726,19.4993979,509876.0,Pellegrini,46.33,53.67
509884,Novoť,3713,49.4372946,19.2478846,509884.0,Korčok,54.06,45.94
509892,Oravská Jasenica,1922,49.4179825,19.4178568,509892.0,Pellegrini,46.09,53.91
509906,Oravská Lesná,3445,49.3588726,19.1946782,509906.0,Korčok,50.39,49.61
509914,Oravská Polhora,3974,49.5549941,19.4479885,509914.0,Korčok,54.42,45.58
509922,Oravská Poruba,1079,49.1889958,19.2640649,509922.0,Korčok,55.17,44.83
509931,Oravské Veselé,2996,49.4803588,19.3712427,509931.0,Korčok,51.97,48.03
509949,Oravský Biely Potok,740,49.2721227,19.5611755,509949.0,Korčok,59.9,40.1
509957,Oravský Podzámok,1353,49.2771152,19.3451082,509957.0,Korčok,59.04,40.96
509965,Osádka,169,49.1825107,19.3951783,509965.0,Pellegrini,29.55,70.45
509973,Párnica,936,49.2102278,19.1478203,509973.0,Pellegrini,42.45,57.55
509981,Podbiel,1304,49.3054295,19.4715612,509981.0,Pellegrini,49.51,50.49
509990,Pokryváč,177,49.1973819,19.3980604,509990.0,Korčok,53.01,46.99
510009,Pribiš,478,49.2243213,19.4081839,510009.0,Korčok,58.44,41.56
510017,Pucov,900,49.2183028,19.3785335,510017.0,Korčok,60.0,40.0
510025,Rabča,5139,49.4830767,19.4704888,510025.0,Pellegrini,45.59,54.41
510033,Rabčice,2024,49.5136256,19.5170321,510033.0,Pellegrini,31.66,68.34
510041,Sedliacka Dubová,542,49.2700062,19.4226352,510041.0,Korčok,53.7,46.3
510050,Sihelné,2182,49.5088003,19.4106598,510050.0,Pellegrini,47.06,52.94
510076,Suchá Hora,1455,49.3602751,19.7838226,510076.0,Pellegrini,41.79,58.21
510084,Štefanov nad Oravou,697,49.3644956,19.5244251,510084.0,Pellegrini,48.65,51.35
510092,Ťapešovo,776,49.3693952,19.4548725,510092.0,Pellegrini,44.28,55.72
510106,Trstená,7213,49.3915164,19.6024686,510106.0,Pellegrini,47.19,52.81
510114,Tvrdošín,8952,49.2953275,19.7547423,510114.0,Pellegrini,42.73,57.27
510149,Vasiľov,840,49.3502286,19.3843217,510149.0,Korčok,52.31,47.69
510157,Vavrečka,1620,49.3809585,19.4778833,510157.0,Korčok,51.43,48.57
510165,Veličná,1431,49.2427404,19.229295,510165.0,Korčok,56.15,43.85
510173,Vitanová,1321,49.271538,19.7559602,510173.0,Pellegrini,40.0,60.0
510181,Vyšný Kubín,796,49.1764065,19.329056,510181.0,Korčok,63.97,36.03
510190,Zábiedovo,900,49.307052,19.6297055,510190.0,Pellegrini,49.07,50.93
510203,Zákamenné,5542,49.3976122,19.2412215,510203.0,Pellegrini,44.52,55.48
510211,Zázrivá,2552,49.2847651,19.1662334,510211.0,Pellegrini,46.98,53.02
510238,Zuberec,1913,49.2356623,19.6722855,510238.0,Korčok,59.14,40.86
510246,Zubrohlava,2354,49.4627975,19.5195042,510246.0,Pellegrini,40.77,59.23
510254,Žaškov,1622,49.1705019,19.2056915,510254.0,Korčok,51.68,48.32
510262,Liptovský Mikuláš,30522,49.070392,19.6024058,510262.0,Pellegrini,49.38,50.62
510271,Beňadiková,533,49.0808744,19.686591,510271.0,Pellegrini,34.78,65.22
510301,Bešeňová,657,49.112732,19.4422406,510301.0,Korčok,60.21,39.79
510319,Bobrovček,170,49.1433992,19.5999851,510319.0,Pellegrini,42.16,57.84
510327,Bobrovec,1984,49.1626385,19.6296929,510327.0,Korčok,59.21,40.79
510335,Bobrovník,132,49.1186033,19.4777638,510335.0,Pellegrini,33.68,66.32
510351,Bukovina,112,49.1341612,19.4736891,510351.0,Pellegrini,30.56,69.44
510386,Demänovská Dolina,317,48.9774695,19.5867667,510386.0,Korčok,78.89,21.11
510408,Dúbrava (LM),1228,49.0020758,19.5018033,510408.0,Pellegrini,38.95,61.05
510416,Galovany,311,49.0862654,19.5291057,510416.0,Pellegrini,47.96,52.04
510424,Gôtovany,471,49.0665383,19.5052726,510424.0,Pellegrini,37.88,62.12
510441,Hubová,1079,49.0995568,19.1946373,510441.0,Korčok,51.8,48.2
510459,Huty,155,49.21948,19.5718814,510459.0,Pellegrini,33.67,66.33
510467,Hybe,1480,49.0580652,19.8505142,510467.0,Pellegrini,38.55,61.45
510505,Jakubovany (LM),370,49.1184551,19.7388896,510505.0,Pellegrini,45.05,54.95
510513,Jalovec (LM),311,49.1729513,19.6687134,510513.0,Pellegrini,48.62,51.38
510521,Jamník (LM),477,49.1350494,19.7579251,510521.0,Pellegrini,44.79,55.21
510530,Kalameny,450,49.147134,19.4159734,510530.0,Pellegrini,40.83,59.17
510548,Komjatná,1576,49.1419385,19.2472699,510548.0,Korčok,52.52,47.48
510564,Kráľova Lehota,598,49.0023405,19.8046138,510564.0,Pellegrini,32.31,67.69
510572,Kvačany (LM),558,49.1815693,19.5528872,510572.0,Pellegrini,46.23,53.77
510581,Lazisko,372,48.9844648,19.5294053,510581.0,Pellegrini,28.17,71.83
510599,Likavka,2987,49.1088701,19.3077673,510599.0,Korčok,55.82,44.18
510602,Liptovská Anna,95,49.1546791,19.4561076,510602.0,Korčok,54.93,45.07
510611,Liptovská Kokava,934,49.1011055,19.8477514,510611.0,Pellegrini,36.43,63.57
510629,Liptovská Lúžna,2782,48.927486,19.3257632,510629.0,Pellegrini,38.98,61.02
510637,Liptovská Osada,1617,48.9249117,19.2590692,510637.0,Pellegrini,42.44,57.56
510653,Liptovská Sielnica,605,49.1272492,19.5148578,510653.0,Korčok,50.27,49.73
510661,Liptovská Štiavnica,1300,49.0161516,19.3487608,510661.0,Pellegrini,47.61,52.39
510670,Liptovská Teplá,1031,49.1151744,19.418671,510670.0,Korčok,52.26,47.74
510688,Liptovské Beharovce,80,49.1419691,19.5791422,510688.0,Korčok,50.0,50.0
510696,Liptovské Kľačany,378,49.0071975,19.4628482,510696.0,Pellegrini,38.61,61.39
510700,Liptovské Matiašovce,314,49.1609232,19.5657563,510700.0,Korčok,60.0,40.0
510718,Liptovské Revúce,1536,48.9163334,19.1657417,510718.0,Pellegrini,32.15,67.85
510726,Liptovský Hrádok,7154,49.0527709,19.7731566,510726.0,Pellegrini,43.88,56.12
510734,Liptovský Ján,1099,48.9843635,19.6696435,510734.0,Pellegrini,48.7,51.3
510742,Liptovský Michal,301,49.0903996,19.4341031,510742.0,Pellegrini,44.64,55.36
510751,Liptovský Ondrej,627,49.1053531,19.7049086,510751.0,Pellegrini,42.6,57.4
510777,Liptovský Trnovec,583,49.1610595,19.5825119,510777.0,Korčok,50.12,49.88
510785,Lisková,2061,49.0996474,19.3548784,510785.0,Pellegrini,47.38,52.62
510793,Ľubeľa,1216,49.028003,19.4785361,510793.0,Pellegrini,32.08,67.92
510807,Ľubochňa,1074,49.029637,19.1562251,510807.0,Pellegrini,48.52,51.48
510815,Lúčky (RK),1651,49.1480423,19.3814186,510815.0,Pellegrini,47.82,52.18
510823,Ludrová,1000,49.0513599,19.3279883,510823.0,Pellegrini,40.82,59.18
510831,Malatíny,244,49.0664267,19.4589569,510831.0,Pellegrini,36.92,63.08
510840,Malé Borové,124,49.2265439,19.5421038,510840.0,Pellegrini,43.1,56.9
510858,Malužiná,221,48.9441835,19.8323874,510858.0,Pellegrini,36.62,63.38
510866,Martinček,452,49.1044469,19.330858,510866.0,Korčok,50.21,49.79
510874,Nižná Boca,163,48.9471709,19.7758996,510874.0,Korčok,53.91,46.09
510904,Partizánska Ľupča,1318,48.9906361,19.421114,510904.0,Pellegrini,42.96,57.04
510912,Pavčina Lehota,393,49.0215898,19.5573122,510912.0,Korčok,56.13,43.87
510921,Pavlova Ves,284,49.127673,19.5801141,510921.0,Pellegrini,43.8,56.2
510947,Podtureň,1094,49.051227,19.702944,510947.0,Pellegrini,44.3,55.7
510955,Potok (RK),98,49.1136021,19.4529592,510955.0,Pellegrini,47.3,52.7
510963,Pribylina,1327,49.1528032,19.8438091,510963.0,Pellegrini,42.99,57.01
510971,Prosiek,226,49.1650808,19.4941223,510971.0,Pellegrini,36.15,63.85
510998,Ružomberok,27407,49.0387353,19.2655802,510998.0,Korčok,51.76,48.24
511005,Liptovské Sliače,3718,49.0525523,19.390871,511005.0,Korčok,50.0,50.0
511013,Smrečany,696,49.1269393,19.6553097,511013.0,Korčok,62.2,37.8
511030,Stankovany,1149,49.1465148,19.1676949,511030.0,Pellegrini,37.63,62.37
511048,Svätý Kríž,887,49.0477531,19.5306001,511048.0,Pellegrini,39.29,60.71
511056,Štiavnička,869,49.0716773,19.3447601,511056.0,Korčok,52.53,47.47
511064,Švošov,856,49.1281178,19.2023419,511064.0,Pellegrini,46.7,53.3
511072,Trstené,220,49.1145488,19.6274788,511072.0,Pellegrini,46.72,53.28
511099,Uhorská Ves,537,49.0261439,19.6966164,511099.0,Pellegrini,45.2,54.8
511102,Valaská Dubová,782,49.1388745,19.2989505,511102.0,Korčok,50.61,49.39
511111,Vavrišovo,671,49.0773992,19.7638328,511111.0,Pellegrini,47.8,52.2
511129,Važec,2382,49.0641848,19.9847066,511129.0,Pellegrini,25.08,74.92
511137,Veľké Borové,40,49.1966129,19.5178988,511137.0,Korčok,60.0,40.0
511145,Veterná Poruba,387,49.1072537,19.6773558,511145.0,Pellegrini,38.25,61.75
511153,Vlachy,619,49.0896039,19.4816023,511153.0,Pellegrini,36.46,63.54
511170,Východná,2222,48.9937599,19.9316547,511170.0,Pellegrini,28.91,71.09
511188,Vyšná Boca,106,48.9202832,19.7419964,511188.0,Pellegrini,24.39,75.61
511196,Závažná Poruba,1248,49.0367319,19.6328892,511196.0,Korčok,52.72,47.28
511200,Žiar (LM),477,49.1558769,19.6939321,511200.0,Korčok,61.94,38.06
511218,Lučenec,25902,48.3316498,19.671862,511218.0,Pellegrini,45.47,54.53
511226,Ábelová,219,48.4262217,19.4169778,511226.0,Pellegrini,45.45,54.55
511234,Belina - Béna,617,48.2354308,19.8522402,511234.0,Pellegrini,22.76,77.24
511251,Boľkovce,636,48.3389751,19.7424522,511251.0,Pellegrini,31.95,68.05
511269,Breznička (PT),725,48.4165735,19.7363962,511269.0,Pellegrini,29.14,70.86
511277,Budiná,207,48.4676948,19.4510389,511277.0,Pellegrini,23.21,76.79
511293,Buzitka,478,48.3286245,19.8091041,511293.0,Pellegrini,35.4,64.6
511315,Cinobaňa,2055,48.4793891,19.6318891,511315.0,Pellegrini,24.02,75.98
511323,Čakanovce (LC) - Csákányháza,1126,48.2120209,19.789065,511323.0,Pellegrini,27.91,72.09
511331,Čamovce - Csomatelke,581,48.2361537,19.8856719,511331.0,Pellegrini,14.81,85.19
511340,České Brezovo,444,48.504205,19.8001494,511340.0,Pellegrini,26.01,73.99
511358,Divín,2030,48.4574325,19.514977,511358.0,Pellegrini,30.7,69.3
511366,Dobroč,596,48.5035277,19.5563907,511366.0,Pellegrini,31.37,68.63
511374,Kotmanová,279,48.4994752,19.5867165,511374.0,Pellegrini,26.14,73.86
511391,Fiľakovo - Fülek,9949,48.2673968,19.8191994,511391.0,Pellegrini,40.74,59.26
511404,Fiľakovské Kováče - Fülekkovácsi,909,48.2849352,19.7763279,511404.0,Pellegrini,37.79,62.21
511421,Halič,1662,48.319853,19.5874314,511421.0,Pellegrini,41.53,58.47
511439,Holiša - Ipolygalsa,670,48.3146331,19.7440458,511439.0,Pellegrini,20.95,79.05
511447,Hradište (PT),240,48.5059325,19.7142472,511447.0,Pellegrini,24.65,75.35
511463,Jelšovec,331,48.2881146,19.5931622,511463.0,Pellegrini,28.57,71.43
511471,Kalinovo,2226,48.3974876,19.7134628,511471.0,Pellegrini,26.93,73.07
511480,Kalonda - Kalonda,198,48.2538688,19.6559342,511480.0,Pellegrini,44.64,55.36
511498,Kokava nad Rimavicou,2761,48.5812482,19.79265,511498.0,Pellegrini,23.68,76.32
511501,Krná,54,48.524717,19.7414114,511501.0,Pellegrini,44.74,55.26
511510,Látky,564,48.5771052,19.6486528,511510.0,Pellegrini,27.84,72.16
511528,Lehôtka,355,48.3396749,19.5383786,511528.0,Pellegrini,27.01,72.99
511536,Lentvora,82,48.3696166,19.4562669,511536.0,Pellegrini,40.62,59.38
511544,Lipovany,246,48.2167904,19.7026362,511544.0,Pellegrini,20.83,79.17
511552,Lovinobaňa,1935,48.4355566,19.5968858,511552.0,Pellegrini,27.34,72.66
511561,Ľuboreč,348,48.3221641,19.5024185,511561.0,Pellegrini,33.58,66.42
511579,Lupoč,206,48.3652391,19.5318402,511579.0,Pellegrini,30.11,69.89
511595,Málinec,1396,48.5377746,19.6818487,511595.0,Pellegrini,16.61,83.39
511609,Mašková,325,48.3243794,19.5558992,511609.0,Pellegrini,30.97,69.03
511617,Mládzovo,101,48.4385436,19.7019947,511617.0,Pellegrini,28.36,71.64
511625,Mučín,763,48.2416839,19.7039822,511625.0,Pellegrini,31.25,68.75
511641,Mýtna,1165,48.4931741,19.5263263,511641.0,Pellegrini,27.95,72.05
511668,Nitra nad Ipľom - Ipolynyitra,381,48.3239904,19.7778424,511668.0,Korčok,50.75,49.25
511676,Nové Hony,179,48.3709977,19.8201745,511676.0,Pellegrini,29.33,70.67
511684,Ozdín,288,48.4739941,19.6795466,511684.0,Pellegrini,30.67,69.33
511692,Panické Dravce - Panyidaróc,743,48.2886744,19.6464517,511692.0,Pellegrini,45.83,54.17
511706,Píla (LC),248,48.4896528,19.4909145,511706.0,Pellegrini,28.08,71.92
511714,Pinciná - Pinc,208,48.364214,19.7644923,511714.0,Pellegrini,40.91,59.09
511722,Pleš - Fülekpilis,191,48.2321466,19.7480431,511722.0,Pellegrini,27.85,72.15
511731,Podkriváň,569,48.5246148,19.493808,511731.0,Pellegrini,19.31,80.69
511749,Podrečany,527,48.4009373,19.5929937,511749.0,Pellegrini,23.62,76.38
511757,Polichno,128,48.4027052,19.4896605,511757.0,Pellegrini,30.0,70.0
511765,Poltár,5333,48.4250845,19.7904348,511765.0,Pellegrini,24.2,75.8
511773,Praha,75,48.3742978,19.4979227,511773.0,Pellegrini,27.03,72.97
511781,Prša - Perse,190,48.3001607,19.7903511,511781.0,Pellegrini,28.77,71.23
511790,Radzovce - Ragyolc,1602,48.2066192,19.853193,511790.0,Pellegrini,34.29,65.71
511803,Rapovce - Rapp,930,48.2682535,19.6854714,511803.0,Pellegrini,37.1,62.9
511811,Ratka,329,48.2502137,19.7760895,511811.0,Pellegrini,26.38,73.62
511820,Rovňany,246,48.4514451,19.7316976,511820.0,Pellegrini,23.14,76.86
511838,Ružiná,835,48.4273979,19.5487223,511838.0,Pellegrini,25.98,74.02
511846,Stará Halič,638,48.3751103,19.5629877,511846.0,Pellegrini,33.22,66.78
511854,Šávoľ - Füleksávoly,588,48.3121907,19.8398517,511854.0,Pellegrini,28.57,71.43
511862,Šiatorská Bukovinka,289,48.180022,19.83026,511862.0,Pellegrini,21.53,78.47
511871,Šíd - Gömörsid,1329,48.2717315,19.8801669,511871.0,Pellegrini,18.82,81.18
511889,Šoltýska,86,48.5784522,19.7463477,511889.0,Pellegrini,23.61,76.39
511897,Šurice - Sőreg,471,48.224029,19.9134478,511897.0,Pellegrini,22.22,77.78
511901,Točnica,388,48.4105861,19.6452239,511901.0,Pellegrini,23.49,76.51
511919,Tomášovce (LC),1374,48.3697289,19.6203918,511919.0,Pellegrini,36.13,63.87
511927,Trebeľovce,867,48.2762901,19.7267502,511927.0,Pellegrini,27.56,72.44
511943,Tuhár,339,48.4273073,19.4911003,511943.0,Pellegrini,19.5,80.5
511978,Uhorské,515,48.4762967,19.76145,511978.0,Pellegrini,21.12,78.88
511994,Veľká nad Ipľom - Vilke,932,48.2654036,19.5955006,511994.0,Pellegrini,35.84,64.16
512001,Veľká Ves,424,48.3841732,19.666351,512001.0,Pellegrini,35.24,64.76
512010,Veľké Dravce - Nagydaróc,698,48.3432935,19.8326267,512010.0,Pellegrini,35.29,64.71
512036,Martin,52520,49.0844207,18.8906756,512036.0,Pellegrini,49.35,50.65
512044,Abramová,178,48.9360555,18.7789816,512044.0,Pellegrini,31.91,68.09
512052,Belá-Dulice,1235,48.9799743,19.0500806,512052.0,Pellegrini,41.15,58.85
512061,Benice,351,48.992151,18.8667462,512061.0,Pellegrini,35.96,64.04
512079,Blatnica,1021,48.9206006,18.9911975,512079.0,Pellegrini,35.14,64.86
512087,Blažovce,162,48.9384188,18.845628,512087.0,Pellegrini,32.04,67.96
512095,Bodorová,240,48.9094302,18.8537654,512095.0,Pellegrini,39.37,60.63
512109,Borcová,146,48.9257637,18.8480265,512109.0,Pellegrini,36.78,63.22
